"LV-Nr";"Fachname";"Typ";"Vortragende";"Lehrstuhl";"Link"
"12.00141";"Real-Time Systems and Applications";"UE";"Chen, Jian-Jia";"Lehrstuhl für Cyber-Physische Systeme";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/588254"
"42.00040";"Reinforcement Learning and Learning-based Control";"VO";"Solowjow, Friedrich; Trimpe, Johann Sebastian";"Lehrstuhl für Data Science im Maschinenbau";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562983"
"42.00015";"Reinforcement Learning and Learning-based Control";"UE";"Eisele, Artur; Frauenknecht, Bernd; Kruse, Paul Alexander";"Lehrstuhl für Data Science im Maschinenbau";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562791"
"12.00127";"Renewable Energy: Simulation on Mobile using Swift";"PR";"Richter, Pascal";"Lehr- und Forschungsgebiet Theorie Hybrider Systeme";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563019"
"12.00140";"Research Focus Class in Didaktik der Informatik";"";"Bergner, Nadine";"Lehr- und Forschungsgebiet Didaktik der Informatik";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563176"
"12.00158";"Research Focus Class: Research Methods and Paradigms in Research Software Engineering for Learning Technologies";"";"Heinemann, Birte";"Lehr- und Forschungsgebiet Lerntechnologien";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/586789"
"76.16200";"Research Lab Computational Social Science (Applied Computational Social Sciences)";"PR";"Wagner, Claudia";"Lehrstuhl für Angewandte computerbasierte Sozialwissenschaften";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/586945"
"12.00111";"Research Software Engineering Management and Communication";"SE";"Schmidt, Marc";"Lehrstuhl für Software Engineering (Informatik 3)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/587081"
"12.00125";"Robust Deep Learning";"SE";"Kaulen, Konstantin; Münz, Anna Louisa";"Lehrstuhl für Methodik der Künstlichen Intelligenz (Informatik 14)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563222"
"41.04485";"RWTH: Computerunterstützte Chirurgietechnik";"VO";"Radermacher, Klaus Michael";"Lehrstuhl für Medizintechnik";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561213"
"12.38226";"Satisfiability Checking";"SE";"Giesl, Jürgen; Abraham, Erika";"Lehr- und Forschungsgebiet Programmiersprachen und Verifikation";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560637"
"12.35202";"Security Lab";"PR";"Meyer, Ulrike Michaela; Bönnen, Clemens; Ehrmanntraut, Vincent Cosme; Löbel, Alexander";"Lehr- und Forschungsgebiet IT-Sicherheit";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/564206"
"12.19465";"Selected Topics in Machine Learning and Human Language Technology (Bachelor)";"SE";"Schlüter, Ralf; Wu, Haotian";"Lehrstuhl für Maschinelles Lernen und Inferenz (Informatik 6)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561466"
"12.10003";"Selected Topics in Machine Learning and Human Language Technology (Master)";"SE";"Schlüter, Ralf; Wu, Haotian";"Lehrstuhl für Maschinelles Lernen und Inferenz (Informatik 6)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561465"
"12.25104";"Selected Topics in Process Mining";"SE";"van der Aalst, Willibrordus Martinus Pancratius; Peeva, Viki";"Lehrstuhl für Process and Data Science (Informatik 9)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562062"
"12.24009";"Seminar: Advanced Internet Technology";"SE";"Wehrle, Klaus; Thißen, Dirk";"Lehrstuhl für Kommunikation und verteilte Systeme (Informatik 4)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560803"
"KP.00006";"Seminar: Advanced Topics in Cryptography";"SE";"Nüsken, Michael";"Bonn-Aachen International Center for Information Technology";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562781"
